orderNumber,orderStatus,missedLpns
"	6179115211110573","INCOMPLETE","00100854129315906897|00100854129315907061|00100854129315907085"
"	6179106811110537","COMPLETED",""
"	6180944611035505","COMPLETED",""
"	6179324011112032","COMPLETED",""
"	6179075810881487","COMPLETED",""
"	6175330711083607","COMPLETED",""
