Order_Number,Order_Status,Missed_LPNs
601886499986976,Perfect,
601886539986974,Short,00100854129313845204
601886549986975,Perfect,
601886669986974,Short,00100854129313116625
601889619940447,Perfect,
601889779973886,Perfect,
601889819975834,Short,"00100854129313831863, 00100854129313831658"
601893859983796,Short,00100854129313683899
601898249930332,Short,00100854129313652116
601898879987795,Perfect,
601898909987421,Short,00100854129313686579
601927069988721,Perfect,
601930459988925,Short,"00100854129314152868, 00100854129314152875, 00100854129313652307"
601934699989032,Short,00100854129313652352
601936489983713,Short,00100854129313654172
601947509986733,Perfect,
601947719989247,Perfect,
601948269987857,Short,00100854129313843279
601948379990075,Perfect,
601949899985838,Perfect,
601950229990236,Perfect,
601954129990465,Perfect,
601954879366049,Perfect,
601955129986725,Perfect,
601955179986734,Perfect,
601956419990686,Short,"00154137600257560222, 00100854128237824685, 00154137600257560147"
601957379990773,Perfect,
601961209991984,Perfect,
601990109993613,Short,"00100854129313652277, 00100854129313652260"
601990559993637,Short,"00100854129313652222, 00100854129313652215"
601990769993643,Short,"00100854129314153001, 00100854129314153018"
601990819993645,Short,"00100854129314152837, 00100854129313652239, 00100854129313652246"
601990829993648,Short,00100854129313652291
601991619993689,Short,"00100854129313625936, 00100854129313625943"
601993349993774,Perfect,
601993469993778,Short,00100854129313148473
601993849993795,Short,"00100854129313844344, 00100854129313844320"
601993929993797,Perfect,
601993999993808,Perfect,
601994109993816,Perfect,
601994169993818,Perfect,
601994179993809,Perfect,
601994289993821,Perfect,
601994309993820,Short,"00100854129313692945, 00100854129313692969, 00100854129313692952"
601994359993828,Short,"00100854129313690446, 00100854129313690415, 00100854129313690439"
601994379993825,Short,"00100854129313122114, 00100854129313122121"
601994549993836,Short,"00100854129313652338, 00100854129313652321"
601994559993835,Perfect,
601994619993837,Perfect,
601994669993841,Short,"00100854129314150390, 00100854129314150376, 00100854129314150383"
601994779993843,Perfect,
601994909993847,Perfect,
601995979423548,Perfect,
601996039928536,Perfect,
601996049928560,Short,00100854129313676389
601996059928593,Perfect,
601996109930389,Perfect,
601996189937723,Perfect,
601996279944940,Short,00100854129313497250
601996489958208,Perfect,
601996519970701,Perfect,
